approvedSymbol	ID	targetId	maxPhaseChEMBL	geneticScore	UMAP 1	UMAP 2	UMAP 3	cluster
NUP98	R-HSA-74160,R-HSA-1430728,R-HSA-8953897,R-HSA-1643685,R-HSA-69278,R-HSA-162582,R-HSA-5619102,R-HSA-5619115,R-HSA-2262752,R-HSA-9609690,R-HSA-9609646,R-HSA-1640170,R-HSA-2990846,R-HSA-3108232,R-HSA-4570464,R-HSA-69620,R-HSA-9824446,R-HSA-597592	ENSG00000110713		0.3039653988058105	12.853243	3.0242608	-0.47997713	3
PPP2R1A	R-HSA-5683057,R-HSA-73857,R-HSA-109582,R-HSA-212436,R-HSA-3700989,R-HSA-74160,R-HSA-1257604,R-HSA-5684996,R-HSA-195721,R-HSA-5633007,R-HSA-1430728,R-HSA-5673001,R-HSA-9006925,R-HSA-8953897,R-HSA-190236,R-HSA-1643685,R-HSA-201681,R-HSA-69278,R-HSA-162582,R-HSA-166016,R-HSA-168898,R-HSA-453279,R-HSA-448424,R-HSA-937061,R-HSA-166166,R-HSA-450294,R-HSA-5663202,R-HSA-9855142,R-HSA-9860931,R-HSA-1640170,R-HSA-69236,R-HSA-69231,R-HSA-5654741,R-HSA-5654736,R-HSA-5654732,R-HSA-199418,R-HSA-69620,R-HSA-195253,R-HSA-449147,R-HSA-1280218,R-HSA-418594,R-HSA-5654738,R-HSA-5654743,R-HSA-5654726,R-HSA-9006934,R-HSA-6811558,R-HSA-6806003,R-HSA-6804757,R-HSA-168164,R-HSA-5620912,R-HSA-69206,R-HSA-166058,R-HSA-181438,R-HSA-168179,R-HSA-168188,R-HSA-111885	ENSG00000105568		0.4559480982087158	11.524872	4.9017987	0.4086625	3
AR	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-5688426,R-HSA-8953897,R-HSA-162582,R-HSA-5689880,R-HSA-2262752,R-HSA-8878166,R-HSA-2990846,R-HSA-3108232,R-HSA-8941326,R-HSA-8940973,R-HSA-597592	ENSG00000169083		0.4559480982087158	14.670518	3.2412446	-0.13516657	3
BAK1	R-HSA-109606,R-HSA-5357801,R-HSA-109581	ENSG00000030110		0.6151397899978839	12.85385	5.3435564	2.47881	-1
CCR7	R-HSA-373076,R-HSA-375276,R-HSA-380108,R-HSA-500792,R-HSA-162582,R-HSA-418594	ENSG00000126353		0.15198269940290526	5.1509757	7.114129	13.953425	4
IL21R	R-HSA-449147	ENSG00000103522		0.15198269940290526	14.470661	9.287571	-4.2975616	-1
NFATC2	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-2454202,R-HSA-1168372,R-HSA-983705,R-HSA-1280218,R-HSA-5621481,R-HSA-8878171	ENSG00000101096		0.3039653988058105	12.23567	3.7993798	0.54662853	3
CD28	R-HSA-1257604,R-HSA-2219528,R-HSA-9006925,R-HSA-1643685,R-HSA-162582,R-HSA-5663202,R-HSA-199418,R-HSA-1280218,R-HSA-2219530,R-HSA-9824446,R-HSA-6811558	ENSG00000178562		0.3039653988058105	11.643945	6.516588	-0.9822549	3
FLNA	R-HSA-109582,R-HSA-446728,R-HSA-1500931,R-HSA-162582,R-HSA-76005	ENSG00000196924		0.3039653988058105	12.826527	5.1388144	2.370028	3
SOCS1	R-HSA-162582,R-HSA-166016,R-HSA-168898,R-HSA-909733,R-HSA-449147,R-HSA-1280218,R-HSA-9006934,R-HSA-9705462,R-HSA-166058,R-HSA-181438,R-HSA-168179,R-HSA-168188	ENSG00000185338		0.3039653988058105	10.994371	5.1315503	-0.71744204	3
