approvedSymbol	targetId	pathways	pathwayTerms	neuroFluxSubset	totalScoreNorm	neuroFluxTarget	geneticAD	maxPhase	isDrugTarget	UMAP 1	UMAP 2	cluster	clusterManual	clusterName3Words	clusterNameReactome	clusterNameGOBP	prioritised
ABHD12	ENSG00000100997	R-HSA-76002; R-HSA-162582	"Platelet activation, signaling and aggregation; Signal Transduction"		0	0	1		0	-10.891458	18.88719	-1		Noise			0
AJUBA	ENSG00000129474	R-HSA-69275; R-HSA-453274; R-HSA-1234174; R-HSA-69278; R-HSA-2565942; R-HSA-1266738; R-HSA-1640170	"G2/M Transition; Mitotic G2-G2/M phases; Cellular response to hypoxia; Cell Cycle, Mitotic; Regulation of PLK1 Activity at G2/M Transition; Developmental Biology; Cell Cycle"		0	0	1		0	-8.7902975	7.097367	-1		Noise			0
AKAP9	ENSG00000127914	R-HSA-5663202; R-HSA-453274; R-HSA-2565942; R-HSA-69275; R-HSA-1640170; R-HSA-69278	"Diseases of signal transduction by growth factor receptors and second messengers; Mitotic G2-G2/M phases; Regulation of PLK1 Activity at G2/M Transition; G2/M Transition; Cell Cycle; Cell Cycle, Mitotic"	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.352446402	1	0		0	-8.893092	7.9914846	-1		Noise			0
AMHR2	ENSG00000135409	R-HSA-9006936; R-HSA-162582	Signaling by TGFB family members; Signal Transduction	"SORL1.null, AD_MONO.MIX, AD_MIX"	0.195840437	1	0		0	-8.482283	12.136577	-1		Noise			0
ANK2	ENSG00000145362	R-HSA-9675108; R-HSA-422475; R-HSA-199991; R-HSA-5653656; R-HSA-1266738	Nervous system development; Axon guidance; Membrane Trafficking; Vesicle-mediated transport; Developmental Biology	"PSEN1.Intron4, AD_IND, AD_MONO.MIX, AD_MIX"	0.352446402	1	0		0	3.801608	7.982407	-1		Noise			1
ANK3	ENSG00000151150	R-HSA-9675108; R-HSA-422475; R-HSA-199991; R-HSA-1266738; R-HSA-5653656	Nervous system development; Axon guidance; Membrane Trafficking; Developmental Biology; Vesicle-mediated transport		0	0	1		0	3.600427	7.687831	-1		Noise			0
ANXA5	ENSG00000164111	R-HSA-76002	"Platelet activation, signaling and aggregation"	"SORL1.null, AD_MONO.MIX, AD_MIX"	0.195840437	1	0		0	17.775925	17.6954	-1		Noise			0
AP1G1	ENSG00000166747	R-HSA-1280218; R-HSA-162906; R-HSA-199991; R-HSA-168256; R-HSA-5653656	Adaptive Immune System; HIV Infection; Membrane Trafficking; Immune System; Vesicle-mediated transport		0	0	1		0	0.80170745	14.424719	-1		Noise			0
APOB	ENSG00000084674	R-HSA-8957275; R-HSA-168249; R-HSA-8963899; R-HSA-199991; R-HSA-168898; R-HSA-8963898; R-HSA-5653656; R-HSA-168256; R-HSA-382551	Post-translational protein phosphorylation; Innate Immune System; Plasma lipoprotein remodeling; Membrane Trafficking; Toll-like Receptor Cascades; Plasma lipoprotein assembly; Vesicle-mediated transport; Immune System; Transport of small molecules		0	0	1		0	1.1142579	12.445056	-1		Noise			0
ASAH1	ENSG00000104763	R-HSA-6798695; R-HSA-168249; R-HSA-1266738; R-HSA-168256	Neutrophil degranulation; Innate Immune System; Developmental Biology; Immune System	"PSEN1.Intron4, AD_MONO.MIX, AD_MIX"	0.277854891	1	0		0	2.7234187	11.257062	-1		Noise			1
